claim_id,class,subject_type,subject_id,subject_name,predicate,object_type,object_id,object_name,polarity,matrix,process,method,study_type,year,citation_count,weight,n_independent_sources,provenance
A-36-460,A_molecule_contributes_to_descriptor,molecule,36,3-methylbutyl acetate,contributes_to,sensory_descriptor,460,banana,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-36-380,A_molecule_contributes_to_descriptor,molecule,36,3-methylbutyl acetate,contributes_to,sensory_descriptor,380,ester,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-36-294,A_molecule_contributes_to_descriptor,molecule,36,3-methylbutyl acetate,contributes_to,sensory_descriptor,294,solvent,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-37-37,A_molecule_contributes_to_descriptor,molecule,37,4-butanolide (4-hydroxybutanoic acid lactone),contributes_to,sensory_descriptor,37,dull,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-37-380,A_molecule_contributes_to_descriptor,molecule,37,4-butanolide (4-hydroxybutanoic acid lactone),contributes_to,sensory_descriptor,380,ester,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-37-63,A_molecule_contributes_to_descriptor,molecule,37,4-butanolide (4-hydroxybutanoic acid lactone),contributes_to,sensory_descriptor,63,fruity,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-37-625,A_molecule_contributes_to_descriptor,molecule,37,4-butanolide (4-hydroxybutanoic acid lactone),contributes_to,sensory_descriptor,625,sour,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-38-520,A_molecule_contributes_to_descriptor,molecule,38,"2,4-heptadienal",contributes_to,sensory_descriptor,520,fatty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-38-420,A_molecule_contributes_to_descriptor,molecule,38,"2,4-heptadienal",contributes_to,sensory_descriptor,420,nutty,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-175,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,175,butter,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-314,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,314,butterscotch,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-232,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,232,chlorine,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-82,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,82,diacetyl,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-8,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,8,penetrating,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-626,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,626,quinonic,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
A-39-15,A_molecule_contributes_to_descriptor,molecule,39,"2,3-butanedione (diacetyl, dimethylglyoxal)",contributes_to,sensory_descriptor,15,sickly,positive,,,,,,,0.0265,1,"derived:molecule_odours(molecule_id,odour_id) x odours(name,odour_category) x molecules(name,inchikey)"
